asset	source	timestamp	treatment
slide-01-title-attention-sdm.jpg	first-talk candidate 002	00:00:22	paper title and authors
slide-02-why-care.jpg	first-talk candidate 003	00:01:20	motivation and claims
slide-03-presentation-overview.jpg	first-talk candidate 004	00:01:52	final agenda state
slide-04-brain-memory-requirements.jpg	first-talk candidate 006	00:02:12	associative-memory requirements
slide-05-sdm-unique.jpg	first-talk candidate 007	00:02:48	sparse and distributed definition
slide-06-sdm-write-pattern1.jpg	first-talk candidate 008	00:03:26	first write operation
slide-07-sdm-write-pattern2.jpg	first-talk candidate 010	00:03:42	second write operation
slide-08-sdm-write-superposition.jpg	first-talk candidate 013	00:04:14	final superposition state
slide-09-sdm-read-neurons.jpg	first-talk candidate 014	00:05:02	neuron-level read
slide-10-sdm-read-patterns.jpg	first-talk candidate 015	00:05:40	pattern-level read
slide-11-circle-intersection.jpg	first-talk candidate 017	00:05:56	intersection geometry
slide-12-query-read-equation.jpg	first-talk candidate 023	00:07:18	final read equation derivation
slide-13-transformer-attention-overview.jpg	first-talk candidate 024	00:07:20	attention section transition
slide-14-attention-example.jpg	first-talk candidate 025	00:08:02	language attention example
slide-15-qkv-steps.jpg	first-talk candidate 026	00:08:40	Q/K/V comparison steps
slide-16-weighted-value-sum.jpg	first-talk candidate 027	00:09:00	weighted value aggregation
slide-17-fictional-example.jpg	first-talk candidate 028	00:10:14	interpretive example
slide-18-full-query-update.jpg	first-talk candidate 029	00:10:30	full update equation
slide-19-query-key-dot-product.jpg	first-talk candidate 030	00:10:50	dot-product stage
slide-20-softmax.jpg	first-talk candidate 032	00:11:44	final softmax illustration
slide-21-summation-over-values.jpg	first-talk candidate 033	00:12:02	value summation
slide-22-full-attention-equation.jpg	first-talk candidate 034	00:12:18	complete attention recap
slide-23-attention-approximates-sdm.jpg	first-talk candidate 035	00:12:26	main theorem transition
slide-24-exponential-circle-decay.jpg	first-talk candidate 036	00:12:46	intersection decay plot
slide-25-hamming-cosine-derivation.jpg	first-talk candidate 040	00:16:24	binary-to-continuous derivation
slide-26-exponential-fit-regression.jpg	first-talk candidate 043	00:17:18	log-linear fit
slide-27-attention-sdm-notation.jpg	first-talk candidate 044	00:17:20	attention in SDM notation
slide-28-sdm-attention-equivalence.jpg	first-talk candidate 045	00:17:22	core equivalence
slide-29-parameter-experiments.jpg	first-talk candidate 046	00:18:38	numerical parameter tests
slide-30-mapping-conditions.jpg	first-talk candidate 051	00:20:40	LayerNorm and coefficient conditions
slide-31-continuous-sdm.jpg	first-talk candidate 055	00:21:32	continuous SDM and MLP relation
slide-32-transformer-sdm-question.jpg	first-talk candidate 056	00:22:18	whether trained attention is optimal SDM
slide-33-learned-beta.jpg	first-talk candidate 057	00:23:44	learned effective beta distribution
slide-34-transformer-components-converge.jpg	first-talk candidate 061	00:25:06	FFN LayerNorm and memory extensions
slide-35-sdm-summary.jpg	first-talk candidate 063	00:26:20	final summary state
slide-36-circuitry-sdm.jpg	first-talk candidate 064	00:26:38	abstract neural circuit
slide-37-circuitry-mapping-final.jpg	first-talk candidate 068	00:28:22	final cerebellar mapping
slide-38-cerebellum-anatomy.jpg	first-talk candidate 070	00:31:04	cerebellar anatomy
slide-39-sdm-cerebellum-mapping.jpg	first-talk candidate 072	00:34:00	complete circuit comparison
slide-40-first-talk-thank-you.jpg	first-talk candidate 073	00:35:54	first-talk references and thanks
slide-41-cognitive-map-title.jpg	second-talk candidate 004	00:43:54	cognitive-map and transformer question
slide-42-one-problem-sequence-structure.jpg	second-talk candidate 016	00:45:36	sequence structure and generalization problem
slide-43-cognitive-map-theory-navigation.jpg	second-talk candidate 032	00:47:32	cognitive-map theory and navigation
slide-44-tree-structured-generalization.jpg	second-talk candidate 034	00:48:20	tree structure example
slide-45-task-evidence-selection.jpg	second-talk candidate 035	00:51:44	experimental evidence overview
slide-46-transitive-inference-evidence.jpg	second-talk candidate 048	00:54:54	final transitive-inference state
slide-47-executive-layer-map.jpg	second-talk candidate 053	00:55:18	relational task and representation
slide-48-graph-world-model.jpg	second-talk candidate 056	00:58:58	graph-structured world model
slide-49-neural-algorithm-general.jpg	second-talk candidate 062	00:59:28	general neural algorithm requirement
slide-50-tem-title.jpg	second-talk candidate 064	00:59:38	Tolman-Eichenbaum Machine title
slide-51-tem-architecture.jpg	second-talk candidate 070	01:01:08	TEM architecture and graph
slide-52-lec-what-stream.jpg	second-talk candidate 072	01:01:20	LEC sensory/content stream
slide-53-mec-where-stream.jpg	second-talk candidate 075	01:02:24	MEC structural/location stream
slide-54-recurrent-memory-update.jpg	second-talk candidate 080	01:02:58	hippocampal memory update
slide-55-hebbian-memory-equations.jpg	second-talk candidate 084	01:03:40	final Hebbian equations
slide-56-graph-inference-plan.jpg	second-talk candidate 100	01:06:02	planning over graph structure
slide-57-grid-code-evidence.jpg	second-talk candidate 104	01:08:26	grid-code examples
slide-58-grid-code-summary.jpg	second-talk candidate 110	01:09:36	grid representation comparison
slide-59-quick-learning-result.jpg	second-talk candidate 112	01:10:48	few-visit learning curve
slide-60-tem-transformer-equation.jpg	second-talk candidate 123	01:11:52	TEM recast as transformer equation
slide-61-attention-query-retrieval.jpg	second-talk candidate 128	01:12:34	query/key/value retrieval view
slide-62-relational-memory-steps.jpg	second-talk candidate 144	01:14:56	relational-memory update steps
slide-63-neural-memory-softmax.jpg	second-talk candidate 148	01:15:22	modern Hopfield softmax
slide-64-tem-transformer-comparison.jpg	second-talk candidate 155	01:17:46	TEM versus transformer correspondence
slide-65-tem-analysis-diagrams.jpg	second-talk candidate 160	01:18:20	architecture analysis diagrams
slide-66-conclusions.jpg	second-talk candidate 169	01:19:42	final conclusions
