state	source	status	title	rationale
001	official-deck@page-01	optional	Transformers in Diffusion Models	title slide is represented by the note cover and source metadata
002	official-deck@page-02	optional	Disclaimer 💡	scope disclaimer is preserved in prose and teacher voice; no independent mechanism
003	official-deck@page-03	optional	Overview	administrative overview is preserved in the note structure
004	official-deck@page-04	required	Era of text-to-image diffusion models!	official teaching slide retained in the note
005	official-deck@page-05	required	Diffusion models in a jiffy	official teaching slide retained in the note
006	official-deck@page-06	required	Diffusion models in a jiffy	official teaching slide retained in the note
007	official-deck@page-07	required	Diffusion models are NOT single models	official teaching slide retained in the note
008	official-deck@page-08	required	Diffusion models are NOT single models	official teaching slide retained in the note
009	official-deck@page-09	required	Diffusion models are NOT single models	official teaching slide retained in the note
010	official-deck@page-10	required	Diffusion models are NOT single models	official teaching slide retained in the note
011	official-deck@page-11	required	Diffusion models in a jiffy	official teaching slide retained in the note
012	official-deck@page-12	required	Diffusion models in a jiffy	official teaching slide retained in the note
013	official-deck@page-13	required	Diffusion models in a jiffy	official teaching slide retained in the note
014	official-deck@page-14	required	A diffusion model - the components	official teaching slide retained in the note
015	official-deck@page-15	required	A diffusion model - the components	official teaching slide retained in the note
016	official-deck@page-16	required	A diffusion model - the giant UNet	official teaching slide retained in the note
017	official-deck@page-17	required	A diffusion model - the giant UNet 😩	official teaching slide retained in the note
018	official-deck@page-18	required	Giant UNet - downblocks	official teaching slide retained in the note
019	official-deck@page-19	required	Giant UNet - the complete perspective	official teaching slide retained in the note
020	official-deck@page-20	required	Marrying UNet + Transformer - UViT	official teaching slide retained in the note
021	official-deck@page-21	required	Why bother about changing to DiT?	official teaching slide retained in the note
022	official-deck@page-22	required	The OG DiT - site to the sore eyes!	official teaching slide retained in the note
023	official-deck@page-23	required	The OG DiT - site to the sore eyes!	official teaching slide retained in the note
024	official-deck@page-24	required	The OG DiT - closer look	official teaching slide retained in the note
025	official-deck@page-25	required	The OG DiT - closer look	official teaching slide retained in the note
026	official-deck@page-26	required	The OG DiT - closer look	official teaching slide retained in the note
027	official-deck@page-27	required	The OG DiT - closer look	official teaching slide retained in the note
028	official-deck@page-28	required	The OG DiT - closer look	official teaching slide retained in the note
029	official-deck@page-29	required	The OG DiT - closer look	official teaching slide retained in the note
030	official-deck@page-30	required	The OG DiT - closer look	official teaching slide retained in the note
031	official-deck@page-31	required	The OG DiT - a note on init	official teaching slide retained in the note
032	official-deck@page-32	required	The OG DiT - the adaLN voodoo	official teaching slide retained in the note
033	official-deck@page-33	required	The OG DiT - results	official teaching slide retained in the note
034	official-deck@page-34	required	The OG DiT - results	official teaching slide retained in the note
035	official-deck@page-35	required	Enabling T2I in DiT - PixArt-ɑ	official teaching slide retained in the note
036	official-deck@page-36	required	Enabling T2I in DiT - PixArt-ɑ	official teaching slide retained in the note
037	official-deck@page-37	required	PixArt-ɑ - text encoder	official teaching slide retained in the note
038	official-deck@page-38	required	PixArt-ɑ - return of adaLN voodoo	official teaching slide retained in the note
039	official-deck@page-39	required	PixArt-ɑ - return of adaLN voodoo	official teaching slide retained in the note
040	official-deck@page-40	required	PixArt-ɑ - impressive results for a compact model	official teaching slide retained in the note
041	official-deck@page-41	required	Return of quadratic time & memory complexity	official teaching slide retained in the note
042	official-deck@page-42	required	SANA - efficient DiT for T2I	official teaching slide retained in the note
043	official-deck@page-43	required	SANA - efficient DiT for T2I	official teaching slide retained in the note
044	official-deck@page-44	required	SANA - impressive performance x speed tradeoff	official teaching slide retained in the note
045	official-deck@page-45	required	Multi-modality in separate spaces – MMDiT (SD3)	official teaching slide retained in the note
046	official-deck@page-46	required	Multi-modality in separate spaces – MMDiT (SD3)	official teaching slide retained in the note
047	official-deck@page-47	required	Multi-modality in separate spaces – MMDiT (SD3)	official teaching slide retained in the note
048	official-deck@page-48	required	Multi-modality in separate spaces – MMDiT (SD3)	official teaching slide retained in the note
049	official-deck@page-49	required	MMDiT - does it matter?	official teaching slide retained in the note
050	official-deck@page-50	required	MMDiT - scaling benefits	official teaching slide retained in the note
051	official-deck@page-51	required	MMDiT / SD3 is incomplete without this 🦛	official teaching slide retained in the note
052	official-deck@page-52	required	Flavors of MMDiT	official teaching slide retained in the note
053	official-deck@page-53	required	Flavors of MMDiT	official teaching slide retained in the note
054	official-deck@page-54	required	Flavors of MMDiT	official teaching slide retained in the note
055	official-deck@page-55	required	Enabling T2I in DiT - simplifying the design	official teaching slide retained in the note
056	official-deck@page-56	required	Simplifying the design in T2I DiT - DiT-Air	official teaching slide retained in the note
057	official-deck@page-57	required	Simplifying the design in T2I DiT - DiT-Air	official teaching slide retained in the note
058	official-deck@page-58	required	Simplifying the design in T2I DiT - DiT-Air	official teaching slide retained in the note
059	official-deck@page-59	required	Other structural controls?	official teaching slide retained in the note
060	official-deck@page-60	required	Other structural controls?	official teaching slide retained in the note
061	official-deck@page-61	required	Videos?	official teaching slide retained in the note
062	official-deck@page-62	required	Next-gen architectures	official teaching slide retained in the note
063	official-deck@page-63	required	Next-gen architectures	official teaching slide retained in the note
064	official-deck@page-64	required	Implementations for hacking and getting started	official teaching slide retained in the note
065	official-deck@page-65	required	Concluding thoughts	official teaching slide retained in the note
066	official-deck@page-66	optional	Slides: bit.ly/dit-cs25	closing contact and QR slide without independent teaching content
