[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 今天这场对话让我感受到了一种冰冻解风后的人间烟火气息
[00:00:35] 今天坐在我对面的是华人青年科学家谢赛宁
[00:00:40] 他刚刚和图灵奖得主杨立坤一起踏上了创业的旅程
[00:00:45] 他们的Neolab AMI刚刚完成了第一笔超大规模的融资
[00:00:51] 目前团队规模为25人
[00:00:53] 谢赛宁一直告诉我
[00:00:56] 他不是那个天选之子
[00:00:58] 他是普通的那一个
[00:01:00] 那接下来就是我对谢赛宁的访谈
[00:01:03] 伊莱亚给我打电话
[00:01:05] 我什么都没说我就把我拍在剧了
[00:01:07] 他们发给我一个offer
[00:01:09] 然后说我不去抱歉
[00:01:10] 但是有爱的同事一定就有恨
[00:01:12] 它是一体两面
[00:01:15] 我今天早上我们在纽约布鲁克林拍空镜
[00:01:26] 我觉得这里我很喜欢这里
[00:01:27] 因为我住在时代广场那边
[00:01:29] 我觉得那边还是一个非常刻板印象的纽约
[00:01:32] 但是好像来到这里就是一个充满了艺术气息和生活气息的纽约
[00:01:36] 我觉得Dumbo这边当然非常艺术
[00:01:39] 很多电影里面
[00:01:41] 我们之前有个韩国电影叫过往人生
[00:01:43] 他们那边拍
[00:01:45] 你可能看到的旋转木马
[00:01:47] 然后那边的Dumbo大桥
[00:01:48] 时代广场只有游客才会去
[00:01:51] 真正的纽约人是不会去的
[00:01:54] 但其实NYU附近其实也很好
[00:01:56] 那边
[00:01:57] 叫做Grenwich Village
[00:01:59] 然后那边也是一个村
[00:02:01] 然后那边也很有生活气息
[00:02:04] 你为什么会来纽约做学术呀
[00:02:07] 这好像不是一个很多人的选择
[00:02:10] 倒也不是吧
[00:02:11] 但是历史比较长的确实是各种原因吧
[00:02:14] 我觉得当然也是因为我确实比较向往这个城市
[00:02:19] 向往这个城市里面的很多的元素
[00:02:22] 它的一些人
[00:02:23] 然后包括NYU其实也是
[00:02:25] 然后当然
[00:02:27] 主要的原因还是因为Young
[00:02:30] 然后像AI的这些efforts
[00:02:32] 对吧
[00:02:32] NYU确实做的很不错
[00:02:34] 但另一方面NYU还有很强的电影学院
[00:02:37] 对
[00:02:38] 然后喜欢的很多导演
[00:02:40] 像什么Martin
[00:02:41] Scorsese
[00:02:42] 包括最近赵婷什么都是NYU的毕业生
[00:02:45] 所以也是partly the reason吧
[00:02:48] 也是也是也是也是一些原因
[00:02:51] 对我这个我
[00:02:52] 我再跟你说
[00:02:54] 我觉得我来美国现在多少年了
[00:02:56] 一三年过来
[00:02:57] 然后13年左右了
[00:02:58] 我这个后训练现在有点崩
[00:03:00] 所以中英夹杂的问题
[00:03:02] 对观众朋友们不好意思
[00:03:04] 我尽量尽量解释
[00:03:06] 多多见谅
[00:03:09] 我好像没有在任何地方找到你的一个播客或者一个访谈
[00:03:15] 所以这是你第一次做一个播客或者访谈吗
[00:03:18] 第一次做播客
[00:03:21] 第一次做访谈
[00:03:21] 对
[00:03:22] 你可能能找到很多
[00:03:23] 我出去在各种conference
[00:03:25] 会议上面
