[00:00:00--00:00:02] 然后我们接下来进入到下一个环节
[00:00:02--00:00:04] 就是我们整体的这样的一个panel的环节
[00:00:05--00:00:06] 我看到
[00:00:07--00:00:11] OK看到余帅老师包括小腾
[00:00:11--00:00:12] 包括维文都已经在
[00:00:13--00:00:15] OK然后大家方便的话可以打开一下摄像头
[00:00:15--00:00:17] 我刚才可能我忘记了
[00:00:21--00:00:23] OK那我们就只
[00:00:23--00:00:25] 哎哈喽哈喽哈喽余帅能听到吗
[00:00:26--00:00:27] 哎哈喽哈喽可以听到
[00:00:28--00:00:30] OKOK小腾和维文都能听到吧
[00:00:31--00:00:31] 可以可以可以
[00:00:31--00:00:33] OK好
[00:00:33--00:00:36] OK那接下来就进入到我们
[00:00:36--00:00:40] 非常感谢余帅来参与NICE举办的这个线上的panel
[00:00:40--00:00:43] 然后我们今天就进入到我们最后的一个内容
[00:00:43--00:00:45] 就是我们panel的一个讨论环节
[00:00:45--00:00:47] 那首先就是
[00:00:47--00:00:50] 请大家依次介绍一下
[00:00:50--00:00:52] 就是目前大家在关注的
[00:00:52--00:00:53] 目前大家的近况
[00:00:53--00:00:55] 目前大家在关注的问题
[00:00:55--00:00:56] 和自己所关注的研究
[00:00:56--00:00:57] 那我们要不就从
[00:00:57--00:00:59] 卫文先开始然后小层
[00:00:59--00:01:01] 然后到余帅这样子的一个选序
[00:01:01--00:01:04] OK我们就先请卫文老师先开始
[00:01:04--00:01:05] 好的好的
[00:01:05--00:01:09] 那我因为刚刚也跟大家有过报告
[00:01:09--00:01:11] 所以自我介绍就跳过了
[00:01:11--00:01:12] 然后就一起讨论一下
[00:01:12--00:01:17] 目前我可能更关注的一些topic和方向吧
[00:01:17--00:01:20] 那么可能就是有三个点
[00:01:20--00:01:22] 第一个呢也是在刚刚报告里面有提出了
[00:01:22--00:01:25] 就是我们希望能够探讨下一代的
[00:01:25--00:01:27] 人和智能体的这个交互的范式
[00:01:27--00:01:30] 就是我最理想的状态呢
[00:01:30--00:01:32] 就是人不需要说任何话
[00:01:32--00:01:34] 不需要任何prompt engineering
[00:01:34--00:01:35] 我们的智能体就知道
[00:01:35--00:01:37] 它应该做什么
[00:01:37--00:01:39] 就是它能够推理出来一些
[00:01:39--00:01:42] 我们隐藏的上下文
[00:01:42--00:01:44] 我们人的一些隐藏的偏好
[00:01:44--00:01:47] 然后来直接帮我们做这个执行
[00:01:47--00:01:51] 那所以就是这个从反应式到主动式的交互范式
[00:01:51--00:01:55] 是我一个当前目前可能更关注的一个问题
[00:01:55--00:01:56] 然后第二个问题呢
[00:01:56--00:01:59] 就是也是会逐渐从这个文本
[00:01:59--00:02:01] 希望迁移到多模态
[00:02:01--00:02:02] 因为现在可以看到
[00:02:02--00:02:04] 其实文本的大模型的发展已经
[00:02:04--00:02:07] 甚至是基于文本的这些智能体的发展
[00:02:07--00:02:09] 已经到了一个相对来说
[00:02:09--00:02:12] 比较成熟的水平了
[00:02:12--00:02:13] 就是真的是已经投入生产了
[00:02:13--00:02:16] 但是可能可以看到一些多模态的
[00:02:16--00:02:19] 比如说这种对文本
[00:02:19--00:02:21] 对这种视频音频的这种理解
[00:02:21--00:02:23] 还有这种图片的理解
[00:02:23--00:02:24] 可能还是比较有限
[00:02:24--00:02:27] 所以我们现在包括刚刚提到的这个MMSkills
[00:02:27--00:02:29] 我们会把一定的这种目光
[00:02:29--00:02:34] 会放到这个多模态的这个理解和生成上面去
[00:02:34--00:02:36] 第三个方向呢
[00:02:36--00:02:38] 就是最近非常火的workmodel
[00:02:38--00:02:40] 我们现在也是希望能够给模型一个
[00:02:40--00:02:44] 对未来的环境产生什么后果
[00:02:44--00:02:45] 这样的一个预测能力
[00:02:45--00:02:48] 所以我们也在做相关的这种尝试
[00:02:48--00:02:50] 能不能我们在take action之前
[00:02:50--00:02:54] 能在脑内做一些类似于我们人的冥想
[00:02:54--00:02:56] 或者是这种模拟
[00:02:56--00:03:00] 然后看看某个action可能会有潜在什么后果
[00:03:00--00:03:01] 不在真实环境里面做交互
[00:03:01--00:03:05] 而是在模拟环境里面去预测后果
[00:03:05--00:03:08] 然后再有这个后果去引导我去做真正的这个action出来
[00:03:08--00:03:11] 所以这个workmodel它是一个非常大的话题
[00:03:11--00:03:15] 我们目前可能更 focus在怎么去帮助我做planning这样的一个过程
[00:03:15--00:03:17] 这三个我比较关注的topic
[00:03:17--00:03:20] OK 感谢卫文
[00:03:20--00:03:23] 那我们接下来请小熊来分享一下
[00:03:23--00:03:24] 对 我觉得那个
[00:03:24--00:03:28] 就是我其实刚才分享完了就跟红柱说
[00:03:28--00:03:32] 就是我们可能关注的东西都是也差不多一样的东西
[00:03:32--00:03:37] 然后当然也是本身就是我也是因为关注这些才跟红柱认识的
[00:03:37--00:03:40] 然后刚才也跟那个微温老师聊了
[00:03:40--00:03:44] 就是我可能我们最近也是非常关心那个proactive的方向
[00:03:44--00:03:47] 但是我觉得就是high level其实我们关心三个事情
[00:03:47--00:03:53] 就是我觉得其实就是环境算法和这个infa
[00:03:53--00:03:58] 然后这三个事情分别就是决定了就是一个agent他要往哪里去
[00:03:58--00:04:01] 然后他通通过什么样的方式去
[00:04:01--00:04:02] 然后和他去迭代的效率
[00:04:02--00:04:05] 然后目前就是在我们的认知里
[00:04:05--00:04:09] 我们觉得可能infrastructure我们有一些很好的这个观察
[00:04:09--00:04:14] 然后基于laura基于可能更高效的一些微调的方法
[00:04:14--00:04:22] 然后其实我们是可以找到一些让模型去进行自迭代的一些很好的技术设施的这个方式的
[00:04:22--00:04:24] 然后但是在前两个问题上
[00:04:24--00:04:30] 我觉得环境上面我觉得我们可能只找到了不到十分之一的答案
[00:04:30--00:04:33] 就是我们还是有很多的未解之谜
[00:04:33--00:04:36] 就是到底这个agent他应该往哪个方向去优化
[00:04:36--00:04:38] 然后怎么去找到他自己提升的signal
[00:04:38--00:04:42] 然后这个我觉得是现在最大挑战
[00:04:42--00:04:43] 然后算法上的话
[00:04:43--00:04:47] 其实in general我们可以用contest learning的这种方式
[00:04:47--00:04:55] 然后就是把这个宏如定义里面的这种学生B转化成学生A
[00:04:55--00:04:55] 对吧
[00:04:55--00:04:59] 然后但是其实它里面还是面临很多的挑战
[00:04:59--00:05:04] 然后最核心的一点就是当我们让学生去学一些新的技能的时候
[00:05:04--00:05:09] 他其实是会forget到忘记一些旧的技能的表现
[00:05:09--00:05:17] 然后这点其实还是无论是OBD还是SFP都没有非常好的解决
[00:05:17--00:05:26] 然后所以我觉得这块是可能在就是真的去就是让Self-Inclusion变得可用的一个非常关键的一个component
[00:05:26--00:05:28] 对
[00:05:28--00:05:30] 非常感谢小腾的分享
[00:05:30--00:05:33] 然后我们接下来请于帅老师来分享一下
[00:05:33--00:05:34] OK
[00:05:34--00:05:35] 大家好
[00:05:35--00:05:35] 我是一帅
[00:05:35--00:05:38] 刚刚可能没有跟大家做这个报告分享
[00:05:38--00:05:41] 因为咱们这是一个比较学术的论坛
[00:05:41--00:05:46] 我其实是以一个startup的创始人进来和大家一起去聊今天的话题
[00:05:46--00:05:49] 可能没有太多的学术的技巧上的分享
[00:05:49--00:05:52] 我可能现在更多的关注的是应用层面
[00:05:52--00:05:54] 就是我自己有那个研发团队
[00:05:54--00:05:58] 然后我们平时也会用很多的codex
[00:05:58--00:06:00] 那个cloud code等等工具去做开发
[00:06:00--00:06:03] 然后很多流程基本上都已经AI化了
[00:06:03--00:06:04] 组织也在AI化
[00:06:04--00:06:07] 所以说我更多可能是从实践的角度从应用的角度
[00:06:07--00:06:10] 然后和大家去聊一聊现在agent的自信化
[00:06:10--00:06:14] 以及人和刚刚就卫文讲的
[00:06:14--00:06:16] AI这么强了那我们人怎么办
[00:06:16--00:06:18] 人如果连AI都赶不上了
[00:06:18--00:06:19] 人可以做什么样的事情
[00:06:19--00:06:23] 所以说关注的点比较多的是这方面人与AI怎么协作
[00:06:24--00:06:28] 然后组织团队里面AI怎么把AI给用起来这些话题上面
[00:06:28--00:06:31] 我之前我是毕业于清华大学这种话系
[00:06:31--00:06:33] 然后是在华为做了5年的算法工程师
[00:06:33--00:06:35] 然后后来也是去年
[00:06:35--00:06:36] 去年刚出来创业
[00:06:36--00:06:39] 做了AI好记这样一个音视频知识库的软件
[00:06:39--00:06:44] 能够帮助大家去分析一些音视频的学习资料
[00:06:44--00:06:47] 然后能够更好的提升学习效率
[00:06:47--00:06:48] 这样一款软件
[00:06:48--00:06:49] 然后像今天的这种会议
[00:06:49--00:06:51] 其实是能用了上的产品
[00:06:51--00:06:54] 对
[00:06:54--00:06:56] 小腾其实也是清华自动化系的
[00:06:56--00:06:57] 对吧
[00:06:57--00:06:59] 是了是了是了
[00:06:59--00:07:01] 那下面可以聊一聊
[00:07:01--00:07:03] 对对对小腾也是自动化系的
[00:07:03--00:07:05] 对我觉得三文老师的分享的非常非常精彩
[00:07:05--00:07:08] 然后刚好也是因为小腾也是在startup
[00:07:08--00:07:09] 然后小小老师也是在startup
[00:07:09--00:07:11] 那我们其实今天既有学界的
[00:07:11--00:07:15] 包括业界的老师来给我们做一个统一的一个视角下的
[00:07:15--00:07:17] 不同的视角下的一个分享
[00:07:17--00:07:20] 那首先呢我们第一个问题大概就到这里
[00:07:20--00:07:22] 然后其实第二个问题是我比较好奇
[00:07:22--00:07:25] 就是说可能我们先从一个大的角度吧
[00:07:25--00:07:28] 就是我比较好奇从各位老师的视角上来看
[00:07:28--00:07:31] 你们是怎么去理解AGI的
[00:07:31--00:07:34] 或说是你们现在对于AGI还会不会来
[00:07:34--00:07:35] 或者说是否已经来了
[00:07:35--00:07:36] 是怎么去看的
[00:07:36--00:07:38] 如果是觉得AGI还没有来
[00:07:38--00:07:41] 那是否还坚信他会到来
[00:07:41--00:07:42] 如果会到来的话
[00:07:42--00:07:44] 他会是什么样子一条技术路线
[00:07:44--00:07:46] 就比如说是agent还是worldmodel
[00:07:46--00:07:48] 还是一个未知的路线
[00:07:48--00:07:49] agent加worldmodel
[00:07:49--00:07:51] 或者是另外一条路线等等
[00:07:51--00:07:52] 那我比较好奇
[00:07:52--00:07:54] 各位老师对这个问题是怎么看的
[00:07:54--00:07:56] 那我们还是这次就反过来
[00:07:56--00:07:58] 那我们先从虞帅老师开始
[00:07:58--00:07:59] 然后到小腾然后到卫文老师
[00:07:59--00:08:01] 好啊
[00:08:01--00:08:03] AGI这个话题其实挺大的
[00:08:03--00:08:05] 就是我们现在很多人聊AGI
[00:08:05--00:08:07] 可能是说更多关注一些Bunchmark
[00:08:07--00:08:09] 就是我们觉得一个AI
[00:08:09--00:08:11] 他在什么样的Bunchmark上面
[00:08:11--00:08:12] 能达到人类的水平
[00:08:12--00:08:14] 比如说90分80分
[00:08:14--00:08:17] 但我觉得这个定义可能是偏静态的
[00:08:17--00:08:20] 然后我自己个人感觉什么是AGI
[00:08:20--00:08:22] 就是首先是我觉得AGI可能还没有到来
[00:08:22--00:08:28] 但是我觉得已经非常快速的在接近这个目标
[00:08:28--00:08:31] 就是我认为现在AGI
[00:08:31--00:08:35] 他就是说AGI能够解决的问题
[00:08:35--00:08:37] 就是说能够探索位置的东西
[00:08:37--00:08:39] 就像我们人去理解世界一下
[00:08:39--00:08:43] 我们人其实对于自己知道的东西都能很好的去解决
[00:08:43--00:08:47] 但是比较可怕的是不知道自己不知道的东西
[00:08:47--00:08:55] 这个东西其实是我觉得AGI可能能够后面帮助人类去理解世界的时候
[00:08:55--00:08:57] 去更好的达到的
[00:08:57--00:09:01] 就是说就是这种任务边界非常模糊
[00:09:01--00:09:03] 就是没有一个很确确的目标
[00:09:03--00:09:07] 就像刚刚卫文老师他分享的时候提到那个主动agent
[00:09:07--00:09:09] 就像你人不给他任何指令
[00:09:09--00:09:11] 他能自己去做探索
[00:09:11--00:09:13] 就是没有很明确的任务边界
[00:09:13--00:09:15] 但他能自己发现问题
[00:09:15--00:09:16] 然后能定义问题
[00:09:16--00:09:17] 能够分解问题
[00:09:17--00:09:19] 那这一套流程下来的话
[00:09:19--00:09:22] 那其实就是相当于一个人在去做事情的模式
[00:09:22--00:09:24] 像我们人去解决问题的时候
[00:09:24--00:09:25] 一般来说
[00:09:25--00:09:28] 你可能都是从未知走向已知
[00:09:28--00:09:30] 这里面其实就是一个从0到1的一个跨越
[00:09:30--00:09:32] 人是有这种好奇心的
[00:09:32--00:09:34] 会去主动去探索的
[00:09:34--00:09:37] 但现在AI的话更多是说人给他指令
[00:09:37--00:09:38] 你去帮我完成一件事情
[00:09:38--00:09:39] 我给你提供context
[00:09:39--00:09:40] 我给你harness
[00:09:40--00:09:42] 然后你去帮我把事情做好
[00:09:42--00:09:45] 那这种静态的这种模式
[00:09:45--00:09:46] 我觉得还不算AGI
[00:09:46--00:09:49] AGI可能就是自己去发现定义分解问题
[00:09:49--00:09:53] 那这样的话就能够能达到一种AGI的模式
[00:09:53--00:09:54] 你甚至就能够自进化了
[00:09:54--00:09:57] 他比如说他为什么能够自进化
[00:09:57--00:09:58] 是因为他能够发现问题
[00:09:58--00:09:59] 能够主动发现问题
[00:09:59--00:10:00] 不管是训练模型也好
[00:10:00--00:10:03] 还是说提升在模型推理
[00:10:03--00:10:05] 提升Harness的效果也好
[00:10:05--00:10:08] 那他能够去找到这些问题的话
[00:10:08--00:10:10] 那我觉得是效果会更好
[00:10:10--00:10:13] 那就是我觉得这样是我心目中的一个AGI
[00:10:14--00:10:14] 对
[00:10:14--00:10:15] 然后
[00:10:15--00:10:15] 所以说
[00:10:15--00:10:17] 你说
[00:10:17--00:10:17] 你说
[00:10:18--00:10:21] 然后刚刚其实问题里面也提到
[00:10:21--00:10:24] 就是说大概一测多久可能会
[00:10:24--00:10:27] AGI这个其实我说不太准
[00:10:27--00:10:29] 但我感觉目前一个体感
[00:10:29--00:10:31] 就是说大家怎么说
[00:10:31--00:10:33] 从进化的角度来讲
[00:10:33--00:10:36] 你比如说以前是单细胞的
[00:10:36--00:10:38] 然后后面变成多细胞生物
[00:10:38--00:10:39] 那我觉得现在可能一个agent
[00:10:39--00:10:41] 就像一个单细胞的一个生物
[00:10:41--00:10:43] 你像我们现在在讲很多垂直领域agent
[00:10:43--00:10:45] 其实在业界很多落地的agent
[00:10:45--00:10:47] 都是非常垂直的领域的
[00:10:47--00:10:49] 比如做数据分析的
[00:10:49--00:10:52] 然后像做各种调研的
[00:10:52--00:10:54] 就携带码数据分析
[00:10:54--00:10:56] 我觉得这两个垂直领域
[00:10:56--00:10:57] 它已经非常强了
[00:10:57--00:10:59] 而且携带码这种工具
[00:10:59--00:11:01] 它其实是比较通用的一种模式
[00:11:02--00:11:05] 那更后面我觉得近三年到五年
[00:11:05--00:11:07] 我可能甚至都没有这么长时间
[00:11:07--00:11:10] 可能都还是处于一种垂直领域agent
[00:11:10--00:11:11] 会非常非常多
[00:11:11--00:11:13] 然后类似一种agent的联邦的一种形态
[00:11:13--00:11:16] 就是通过MCP调用
[00:11:16--00:11:20] Skills调用或者等等一些方式
[00:11:20--00:11:23] 让大家把自己领域内的信息
[00:11:23--00:11:24] 放到agent里面去
[00:11:24--00:11:25] 然后互相调用
[00:11:25--00:11:27] 这可能是短期的一种形态
[00:11:27--00:11:28] 这种联邦模式
[00:11:28--00:11:32] 然后是一种能够解决问题的
[00:11:32--00:11:33] 比较快速的方式
[00:11:33--00:11:34] 然后到后期
[00:11:34--00:11:36] 就像World Model里面提到的
[00:11:36--00:11:37] 它能够自己去
[00:11:37--00:11:40] 在心里面去推演一些东西
[00:11:40--00:11:42] 能够去达到
[00:11:42--00:11:43] 就比如说我现在
[00:11:43--00:11:44] 其实我感觉现在
[00:11:44--00:11:46] 我们在聊的Hallis Engineering
[00:11:46--00:11:50] 更多是说给更大众的一些研究者
[00:11:50--00:11:53] 或者说实践者一种范式
[00:11:53--00:11:55] 让你把数据给归整好
[00:11:55--00:11:56] 我其实有一个报道
[00:11:56--00:11:58] 就是说Hallis Engineering
[00:11:58--00:12:00] 它只是说为了让模型
[00:12:00--00:12:01] 下一步进化
[00:12:01--00:12:02] 提供更好的数据
[00:12:02--00:12:05] 因为现在数据已经都熏着
[00:12:05--00:12:07] 互联网上的数据都已经拿到的差不多
[00:12:07--00:12:08] 都已经熏着很多了
[00:12:08--00:12:11] 但是这种更加的专业化
[00:12:11--00:12:12] 比如说Skills
[00:12:12--00:12:14] 我们什么叫Skills
[00:12:14--00:12:15] 其实本质上还是Prompt
[00:12:15--00:12:17] 是人把Prompt写出来
[00:12:17--00:12:21] 现在我们业界会讲说
[00:12:21--00:12:22] 你写好Skills
[00:12:22--00:12:23] AI就能能力更强
[00:12:23--00:12:24] 为什么写是本质上
[00:12:24--00:12:26] 还是提供了更多的数据
[00:12:26--00:12:28] 让AI知道该怎么做
[00:12:28--00:12:30] 这些数据是存在在人脑
[00:12:30--00:12:31] 就是在人脑里面的
[00:12:31--00:12:34] 它不是存在于说在哪个文章里面
[00:12:34--00:12:37] 或者说AI能够直接训练到的
[00:12:37--00:12:38] 那这些信息来了之后
[00:12:38--00:12:40] Hallis Engineering
[00:12:40--00:12:41] 其实是更进一步
[00:12:41--00:12:45] 把Context各种各样的环境都给你准备好了
[00:12:45--00:12:46] 那这些环境又是可测量的
[00:12:46--00:12:48] 那对于模型训练来说
[00:12:48--00:12:50] 这是非常好的数据
[00:12:50--00:12:52] 你把所有的数据都能够规整好
[00:12:52--00:12:53] 其实它提出来一种
[00:12:53--00:12:57] 让普通人就能够把数据规整好的一种模式
[00:12:57--00:12:58] 一种规范
